year,county,fips,yield_bu_acre
2000,Adair,19001,131.8
2001,Adair,19001,127.3
2002,Adair,19001,154.3
2003,Adair,19001,131.3
2004,Adair,19001,182.1
2005,Adair,19001,159.0
2006,Adair,19001,164.9
2007,Adair,19001,160.7
2008,Adair,19001,169.0
2009,Adair,19001,179.3
2010,Adair,19001,139.1
2011,Adair,19001,152.8
2012,Adair,19001,104.4
2013,Adair,19001,137.8
2014,Adair,19001,169.3
2015,Adair,19001,176.5
2016,Adair,19001,190.3
2017,Adair,19001,175.2
2018,Adair,19001,149.5
2019,Adair,19001,176.5
2020,Adair,19001,168.7
2022,Adair,19001,164.2
2024,Adair,19001,211.2
2025,Adair,19001,187.0
2000,Adams,19003,140.0
2001,Adams,19003,120.3
2002,Adams,19003,132.3
2003,Adams,19003,122.2
2004,Adams,19003,169.3
2005,Adams,19003,157.1
2006,Adams,19003,145.4
2007,Adams,19003,153.4
2008,Adams,19003,156.0
2009,Adams,19003,168.1
2010,Adams,19003,139.3
2011,Adams,19003,151.7
2012,Adams,19003,109.8
2013,Adams,19003,147.6
2014,Adams,19003,169.9
2015,Adams,19003,169.6
2016,Adams,19003,187.4
2017,Adams,19003,179.9
2018,Adams,19003,171.6
2020,Adams,19003,173.3
2000,Allamakee,19005,146.6
2001,Allamakee,19005,150.3
2002,Allamakee,19005,158.7
2003,Allamakee,19005,142.7
2004,Allamakee,19005,163.3
2005,Allamakee,19005,177.4
2006,Allamakee,19005,166.2
2007,Allamakee,19005,167.1
2008,Allamakee,19005,170.0
2009,Allamakee,19005,179.6
2010,Allamakee,19005,175.8
2011,Allamakee,19005,173.3
2012,Allamakee,19005,153.6
2013,Allamakee,19005,162.1
2014,Allamakee,19005,175.6
2015,Allamakee,19005,175.4
2016,Allamakee,19005,205.1
2017,Allamakee,19005,190.5
2018,Allamakee,19005,198.4
2019,Allamakee,19005,187.2
2020,Allamakee,19005,196.3
2021,Allamakee,19005,198.5
2022,Allamakee,19005,215.9
2023,Allamakee,19005,183.9
2024,Allamakee,19005,216.3
2025,Allamakee,19005,211.1
2000,Appanoose,19007,147.7
2001,Appanoose,19007,110.1
2002,Appanoose,19007,129.4
2003,Appanoose,19007,125.7
2004,Appanoose,19007,171.9
2005,Appanoose,19007,150.0
2006,Appanoose,19007,157.7
2007,Appanoose,19007,152.0
2008,Appanoose,19007,118.0
2009,Appanoose,19007,153.0
2010,Appanoose,19007,75.2
2011,Appanoose,19007,120.1
2012,Appanoose,19007,44.5
2013,Appanoose,19007,109.1
2014,Appanoose,19007,170.9
2015,Appanoose,19007,154.3
2016,Appanoose,19007,186.3
2017,Appanoose,19007,170.0
2019,Appanoose,19007,166.8
2020,Appanoose,19007,143.6
2021,Appanoose,19007,171.6
2022,Appanoose,19007,146.1
2023,Appanoose,19007,172.8
2000,Audubon,19009,136.2
2001,Audubon,19009,129.1
2002,Audubon,19009,151.5
2003,Audubon,19009,137.4
2004,Audubon,19009,179.6
2005,Audubon,19009,172.1
2006,Audubon,19009,173.9
2007,Audubon,19009,160.7
2008,Audubon,19009,181.0
2009,Audubon,19009,190.4
2010,Audubon,19009,160.3
2011,Audubon,19009,176.6
2012,Audubon,19009,114.8
2013,Audubon,19009,157.1
2014,Audubon,19009,185.5
2015,Audubon,19009,189.8
2016,Audubon,19009,206.1
2017,Audubon,19009,211.2
2018,Audubon,19009,180.0
